Rank,Primary_Gene,Gene_names,Protein_names,logFC,FoldChange,adj.P.Val,Regulation,Total_Score,Priority_Tier,Statistical_Score,Mito_Score,Network_Score,Pathway_Score,Disease_Score,Druggability_Score,Is_Mitochondrial
1,NDUFAF5,NDUFAF5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5,-1.4721750578839423,0.3604384792896807,0.0062904653768549,Down,57.246521390078996,Tier 2: Medium Priority,4.562192513112169,15,0.0,12.684328876966825,20,5,True
2,NDUFA4,NDUFA4,Cytochrome c oxidase subunit NDUFA4,-2.78126210521714,0.1454643867944637,0.0021272966827481,Down,45.31525483270145,Tier 3: Low Priority,11.57848246321865,15,0.0,13.736772369482798,0,5,True
3,MT-CO2,MT-CO2,Cytochrome c oxidase subunit 2,-3.5915247456539694,0.0829551439706423,0.0059215289538274,Down,43.06170106428735,Tier 3: Low Priority,12.227566142858565,12,0.0,13.834134921428785,0,5,True
4,NDUFV3,NDUFV3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",-2.534157214689277,0.172640491854615,0.0461086263894734,Down,42.35805447234111,Tier 3: Low Priority,9.007003888992273,15,0.0,13.35105058334884,0,5,True
5,COX6B1,COX6B1,Cytochrome c oxidase subunit 6B1,-2.199494773979952,0.2177138700002096,0.0007849083602492,Down,39.93680315226843,Tier 3: Low Priority,9.102654915016029,12,0.46875,13.365398237252403,0,5,True
6,COX6C,COX6C,Cytochrome c oxidase subunit 6C,-2.10588266916286,0.2323090609186853,0.0015936006410509,Down,39.04483892753779,Tier 3: Low Priority,8.327033850032862,12,0.46875,13.249055077504929,0,5,True
7,MAOB,MAOB,Amine oxidase [flavin-containing] B,-4.051107201390341,0.0603247063797101,0.0005341369360285,Down,36.73931686698663,Tier 3: Low Priority,13.272347389155522,5,2.8125,10.654469477831103,0,5,True
8,MRS2,MRS2,"Magnesium transporter MRS2 homolog, mitochondrial",3.091473707189897,8.523663902557336,0.0018166847926133,Up,36.28886450310527,Tier 3: Low Priority,12.740720419254398,5,0.0,10.548144083850879,0,8,True
9,ALDH4A1,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",-3.0584258856831767,0.1200389170996912,0.0005938862630402,Down,35.27780606413096,Tier 3: Low Priority,13.226296720109131,5,1.40625,10.645259344021827,0,5,True
10,AKR1B10,AKR1B10,Aldo-keto reductase family 1 member B10,-3.842382391808381,0.0697152269101451,0.0015498186293545,Down,35.246662947650634,Tier 3: Low Priority,12.809719123042191,5,1.875,10.561943824608438,0,5,True
11,NDUFAF7,NDUFAF7,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7",1.0009925832065405,2.0013764859633456,0.0125782204933499,Up,34.19114526936323,Tier 3: Low Priority,1.9053437124897652,15,0.0,12.285801556873464,0,5,True
12,TYMS,TYMS,Thymidylate synthase,3.551561877058869,11.725372712428946,0.0007223833145937,Up,34.17897521130642,Tier 3: Low Priority,13.141232293790303,0,10.78125,5.2564929175161215,0,5,False
13,ATAD3B,ATAD3B,ATPase family AAA domain-containing protein 3B,4.189799945339936,18.249688642948133,0.0008628297047564,Up,33.67688989415582,Tier 3: Low Priority,13.064074911796517,5,0.0,10.612814982359303,0,5,True
14,COX5B,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",-1.3414868681640495,0.3946137500637423,0.0084655744729369,Down,33.34674459213037,Tier 3: Low Priority,3.7797779062003247,12,0.0,12.566966685930048,0,5,True
15,CBR3,CBR3,Carbonyl reductase [NADPH] 3,-3.514931055209582,0.0874782969902687,0.0028447853651751,Down,33.05514059388675,Tier 3: Low Priority,12.545950494905622,5,0.0,10.509190098981124,0,5,True
16,ERAL1,ERAL1,"GTPase Era, mitochondrial",3.047953374153134,8.270378598819297,0.0060683523771927,Up,32.66031505024015,Tier 3: Low Priority,12.216929208533458,5,0.0,10.443385841706691,0,5,True
17,CPS1,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",4.244512538511614,18.955078662510275,0.0076603324286203,Up,32.53890285992138,Tier 3: Low Priority,12.115752383267814,5,0.0,10.423150476653563,0,5,True
